KOI,radius_rearth,radius_rearth_uperr,radius_rearth_lowerr,mass_mearth,mass_mearth_uperr,mass_mearth_lowerr
1.01,13.04,0.51,-0.51,1644.3338226925864,11995.428630131075,-1428.9539057213697
2.01,16.1,0.81,-0.91,939.2339313367462,32338.301242511163,-760.530400614289
3.01,4.82,0.17,-0.18,20.6680879189061,15.51590723028161,-8.862596113415934
4.01,12.94,1.8,-4.2,1422.1124350285972,15017.019420507273,-1299.0886771054004
5.01,7.14,0.52,-0.31,43.61025123237595,42.85723886786452,-19.71253739601679
5.02,0.0,0.0,0.0,nan,nan,nan
6.01,1.74,0.31,-0.37,3.851692887832603,3.3244634554323955,-1.6967913681469784
7.01,4.13,0.26,-0.23,16.451754198903636,12.954278541530726,-7.054607731211679
8.01,1.4,0.2,-0.12,2.6793834239488046,2.260853163564267,-1.0337870439445793
9.01,87.21,16.61,-28.45,nan,nan,nan
10.01,14.59,1.11,-1.11,1074.8532664083987,12850.77554404426,-884.6766320797603
11.01,13.65,3.11,-1.04,1308.8862394056341,18097.422792819023,-1130.182708683177
12.01,13.16,2.57,-0.65,1545.1333484729253,12380.495461979732,-1346.90161754633
13.01,21.42,6.33,-9.48,50386.16578776836,30802.51701201455,-50214.723830133305
14.01,403.59,85.99,-105.0,nan,nan,nan
15.01,65.25,19.12,-12.72,nan,nan,nan
16.01,9.27,2.27,-4.56,249.03550062648281,11794.632046458695,-223.07049695215736
17.01,13.06,0.96,-0.96,1529.2740415650926,13601.001837819304,-1350.5705108426355
18.01,14.92,1.08,-1.31,1120.3796104838093,17497.35892834059,-945.3445193067696
19.01,49.25,8.83,-8.84,139220.66494467435,35680.13337851313,-30676.218639791972
20.01,18.05,2.92,-3.57,3543.069735590944,48977.24588637702,-3368.0346444139045
21.01,76.51,16.12,-26.22,nan,nan,nan
22.01,12.63,2.13,-1.42,1921.2036577397037,13209.072221644694,-1738.7548031818967
23.01,17.85,3.24,-2.43,2438.6088307285745,51182.443800428955,-2263.573739551535
24.01,10.3,2.08,-3.14,901.0683964365953,11395.014057879394,-858.3533797279005
25.01,48.73,16.67,-7.14,139220.66494467435,43088.208668763924,-41369.146904005785
26.01,12.36,3.96,-2.63,901.0683964365953,13024.560414016061,-830.7979402753183
27.01,88.62,25.78,-25.78,nan,nan,nan
28.01,82.46,21.79,-24.19,nan,nan,nan
31.01,50.6,14.85,-5.3,145117.47718199273,37191.39643144555,-36573.030877110345
33.01,51.34,2.15,-11.5,151264.05402556414,27302.369291899,-28334.684098693993
41.01,2.26,0.15,-0.12,6.078939593664214,4.345099609872476,-2.5339120029313724
41.02,1.3,0.08,-0.07,2.200064611829813,1.65162827600279,-0.7165791886018622
41.03,1.55,0.1,-0.08,3.4009762849590546,2.311228961869965,-1.2009116731292417
42.01,2.43,0.12,-0.14,6.33641836235192,5.716496589554976,-2.5637933163767523
43.01,8.02,0.0,0.0,59.526275319313655,6014.74934987472,-28.232319833795206
44.01,11.97,3.43,-1.57,1696.3886448968865,14742.743210638984,-1598.4619942110992
45.01,15.02,0.0,0.0,1155.7232597619466,15627.945002648956,-965.5466254333082
46.01,5.64,0.83,-1.35,27.63200586553049,26.03021824256386,-13.98177048952288
46.02,1.18,0.17,-0.29,1.6800852976013116,1.720890987357743,-0.9622860430021739
48.01,59.31,14.97,-27.79,nan,nan,nan
49.01,2.74,0.43,-0.13,8.29751312309095,7.161728609211368,-3.558021808512584
51.01,50.44,0.0,0.0,145117.47718199273,19231.78841978783,-14295.809930543954
52.01,17.82,2.75,-1.7,1561.325039637151,47790.50973983746,-1406.7721686101634
53.01,10.72,0.0,0.0,3063.5870864565786,12707.54477501218,-2892.1451288215217
